HDOP,Lat,Lon,NumSats,GPSDate,GPSTime,FixTime,BestTime,EndTime
112,46.717384,-116.99187,6,140318,2053100,39754,39896,39869
137,46.717327,-116.99193,4,140318,2111650,21137,21283,21256
129,46.717365,-116.99188,5,140318,2171700,14534,17650,17623
134,46.717384,-116.99182,5,140318,2230700,3473,3613,3586
141,46.717415,-116.99167,5,140318,2291400,6475,6616,6590
147,46.717323,-116.99187,5,140318,2351500,3448,3590,3563
153,46.717358,-116.992,5,140318,2411900,3518,3667,3640
158,46.717373,-116.99182,5,140318,2473000,10691,10831,10805
161,46.717297,-116.9919,5,140318,2533300,9927,10070,10043
164,46.717407,-116.99186,5,140318,2594300,14146,16287,16259
195,46.717369,-116.99189,4,140318,3053600,5252,5277,5251
169,46.717117,-116.99195,5,140318,3123100,56353,56379,56352
224,46.717434,-116.9917,4,140318,3181600,37292,37434,37406
179,46.717712,-116.99125,5,140318,3235300,10317,10343,10316
239,46.717304,-116.99196,5,140318,3303700,31453,50608,50581
240,46.717422,-116.99199,5,140318,3355500,4389,4414,4388
245,46.717407,-116.99184,5,140318,3420000,5458,5483,5457
153,46.717442,-116.99187,7,140318,3483900,11412,40570,40544
181,46.717587,-116.99206,6,140318,3541100,8274,8300,8273
180,46.717209,-116.99173,6,140318,4001700,8146,10293,10265
188,46.717285,-116.99217,5,140318,4062600,14983,15008,14981
197,46.717331,-116.99241,5,140318,4122600,10849,10874,10848
188,46.717884,-116.9927,6,140318,4183400,14740,14764,14739
230,46.717869,-116.99236,5,140318,4243200,8813,8837,8812
199,46.71743,-116.99202,6,140318,4304900,21889,21914,21888
114,46.717705,-116.99133,8,140318,4370100,30017,30159,30131
136,46.717346,-116.99197,7,140318,4424000,5073,5098,5072
136,46.717331,-116.99194,5,140318,4484300,4129,4155,4128
111,46.717503,-116.99196,7,140318,4544800,5195,5221,5194
246,46.717377,-116.99195,6,140318,5005600,9264,9290,9263
148,46.717281,-116.99203,5,140318,5065600,4099,5241,5213
209,46.717571,-116.99162,5,140318,5130000,3958,5102,5074
199,46.717247,-116.99206,5,140318,5190600,6819,6966,6938
179,46.717342,-116.99189,5,140318,5250700,2704,3841,3814
169,46.71735,-116.99187,5,140318,5311100,3715,3741,3714
162,46.717297,-116.99197,5,140318,5371500,3666,3809,3781
158,46.71751,-116.99158,5,140318,5431900,3754,3901,3875
179,46.717319,-116.99194,4,140318,5492200,2828,2976,2948
246,46.717293,-116.9919,4,140318,5553300,9796,9821,9795
247,46.717319,-116.992,4,140318,6013200,4749,4774,4748
198,46.717323,-116.99209,6,140318,6080900,7702,37861,37834
210,46.717323,-116.99191,6,140318,6134300,7440,7464,7439
188,46.717407,-116.9919,6,140318,6194300,3273,3298,3272
185,46.717434,-116.99194,6,140318,6254800,4006,4032,4005
183,46.717201,-116.99151,6,140318,6315700,8643,8667,8642
181,46.717377,-116.99203,6,140318,6380600,13268,13294,13267
180,46.7174,-116.99207,6,140318,6442600,29002,29028,29001
227,46.717373,-116.99187,5,140318,6502400,22818,22844,22817
177,46.717442,-116.992,6,140318,6561700,11814,11840,11813
175,46.717392,-116.99181,6,140318,7022900,19753,19779,19752
