HDOP,Lat,Lon,NumSats,GPSDate,GPSTime,FixTime,BestTime,EndTime
153,46.717354,-116.99171,6,130318,1200100,36112,36252,36225
231,46.717358,-116.99157,5,130318,1253200,2649,2791,2764
147,46.717312,-116.99155,6,130318,1291550,2497,2639,2612
224,46.71743,-116.9918,3,130318,1352300,3903,3927,3902
227,46.717426,-116.99178,5,130318,1375000,3997,4021,3996
227,46.717278,-116.99169,3,130318,1435700,4803,4827,4802
217,46.717319,-116.992,4,130318,1500200,4096,4122,4095
247,46.717369,-116.99162,5,130318,1561000,6434,6575,6549
161,46.717361,-116.9917,7,130318,2023200,4950,23105,23078
201,46.717411,-116.99165,6,130318,2081800,3541,3684,3656
202,46.717392,-116.99254,6,130318,2142300,3294,3443,3416
202,46.717335,-116.99171,6,130318,2202800,3029,3054,3028
204,46.717373,-116.99163,6,130318,2263500,2664,4807,4779
205,46.717369,-116.99175,6,130318,2324200,3205,6348,6320
206,46.717373,-116.99165,6,130318,2384500,2531,3667,3641
207,46.7173,-116.99156,6,130318,2450200,3021,13166,13140
207,46.717396,-116.9918,6,130318,2510400,2304,7444,7416
205,46.717285,-116.99159,6,130318,2572800,2547,23694,23667
131,46.717312,-116.99166,8,130318,3034900,3679,37831,37805
137,46.717354,-116.99173,7,130318,3092200,2961,3101,3075
195,46.717285,-116.99166,4,130318,3152900,2343,2369,2342
150,46.717323,-116.99165,7,130318,3213700,2733,2874,2848
249,46.717415,-116.99181,5,130318,3274500,3130,3154,3129
165,46.717304,-116.99172,7,130318,3335200,2585,2726,2701
175,46.717182,-116.99154,7,130318,3395900,2092,2117,2091
187,46.717358,-116.99173,7,130318,3460700,2576,2717,2690
201,46.717331,-116.99162,7,130318,3521400,2083,2223,2198
217,46.717365,-116.99181,7,130318,3582100,1713,1856,1828
235,46.717396,-116.99186,7,130318,4042900,2303,2451,2424
122,46.717339,-116.99171,12,130318,4110900,2798,34978,34950
140,46.717335,-116.99183,10,130318,4164500,2991,3016,2990
129,46.717258,-116.99158,11,130318,4225200,2307,2449,2421
137,46.717461,-116.99192,11,130318,4290200,4580,4729,4700
141,46.717319,-116.99163,9,130318,4350800,2849,2875,2849
174,46.717346,-116.9916,8,130318,4411700,3886,4033,4007
154,46.717144,-116.99118,8,130318,4472400,2960,2984,2959
134,46.717361,-116.99148,9,130318,4533200,3049,3074,3048
130,46.717411,-116.99167,9,130318,4594000,3192,3217,3191
244,46.717274,-116.99131,4,130318,5054700,2440,2465,2439
142,46.7173,-116.99155,8,130318,5115500,2714,2738,2713
118,46.7174,-116.99163,9,130318,5180400,4066,4214,4185
241,46.717434,-116.992,8,130318,5241000,2450,2598,2572
186,46.7173,-116.99155,7,130318,5301800,3136,3276,3250
249,46.717335,-116.99169,4,130318,5365600,33137,33279,33253
153,46.717331,-116.99172,6,130318,5430100,3111,30271,30243
203,46.717316,-116.99171,5,130318,5484100,2080,2221,2195
151,46.717377,-116.99183,6,130318,5545000,3059,3201,3174
150,46.717316,-116.99174,6,130318,6005800,3016,3157,3131
167,46.717369,-116.9916,5,130318,6070500,2026,2166,2140
173,46.717308,-116.9916,5,130318,6131300,1990,2132,2105
182,46.71735,-116.99172,5,130318,6192200,2925,3066,3039
195,46.717373,-116.99183,5,130318,6252900,2041,2183,2156
212,46.717339,-116.99171,5,130318,6313700,2226,2251,2225
236,46.717331,-116.99172,5,130318,6374500,2568,2711,2684
112,46.717331,-116.99167,6,130318,6440900,3013,19166,19140
111,46.717186,-116.99152,6,130318,6500000,2582,2723,2696
110,46.717411,-116.99179,6,130318,6562000,2964,15112,15087
111,46.717213,-116.99154,5,130318,7021600,3328,3353,3327
110,46.717319,-116.99175,6,130318,7082600,5737,5878,5850
109,46.717255,-116.9916,6,130318,7143400,5058,6205,6178
126,46.717354,-116.99179,5,130318,7203900,3371,3521,3493
162,46.717213,-116.99166,4,130318,7264800,4603,4743,4716
123,46.717575,-116.99207,5,130318,7325400,2812,2960,2933
152,46.717255,-116.99136,4,130318,7390200,2945,3087,3059
120,46.717419,-116.99168,5,130318,7451050,3564,3705,3678
239,46.717323,-116.99174,3,130318,7511800,3141,3166,3140
142,46.717426,-116.99171,4,130318,7572600,3175,3322,3295
131,46.717365,-116.99172,6,130318,8040000,29313,29454,29428
187,46.717281,-116.99171,5,130318,8094200,3202,3227,3201
128,46.717232,-116.99171,6,130318,8154900,2300,2441,2416
127,46.717358,-116.99162,6,130318,8215800,3392,3534,3506
150,46.717335,-116.99165,6,130318,8283100,3607,28753,28727
148,46.717224,-116.99175,6,130318,8341400,3687,3828,3801
129,46.717602,-116.99149,7,130318,8404100,7837,22992,22964
130,46.717369,-116.99162,7,130318,8462900,2787,2927,2901
222,46.717331,-116.99174,6,130318,8523700,2886,2911,2885
128,46.717293,-116.99173,7,130318,8584400,2025,2167,2140
182,46.717403,-116.99185,6,130318,9045400,3071,4210,4184
138,46.717262,-116.99175,6,130318,9110100,3080,3221,3193
137,46.717422,-116.99171,6,130318,9170900,3068,3093,3067
137,46.717358,-116.99165,6,130318,9231800,3005,4141,4115
141,46.717373,-116.99155,5,130318,9292450,2494,2636,2608
137,46.717228,-116.99159,6,130318,9353300,2906,3048,3022
