id,grid_cell,acquired,satellite_id,sun_elevation,pixel_resolution,rows,epsg_code,cloud_cover,ground_control,provider,anomalous_pixels,columns,catalog_id,updated,black_fill,sun_azimuth,origin_y,origin_x,view_angle,strip_id,usable_data,item_type,gsd,published
20171008_181404_1354107_RapidEye-2,1354107,2017-10-08T18:14:04Z,RapidEye-2,50.16835,5,5000,32613,0,True,rapideye,0.13,5000,33786022,2017-10-09T16:45:53Z,0.13,163.96039,3624500,307500,6.77446,33785983,0.87,REOrthoTile,6.5,2017-10-09T16:45:53Z
20170917_180657_1354107_RapidEye-5,1354107,2017-09-17T18:06:57Z,RapidEye-5,56.8829,5,5000,32613,0,True,rapideye,0,5000,33448824,2017-09-18T15:23:42Z,0,154.20556,3624500,307500,3.49999,33448775,1,REOrthoTile,6.5,2017-09-18T15:23:42Z
20090708_184718_1354107_RapidEye-2,1354107,2009-07-08T18:47:18Z,RapidEye-2,78.46098,5,5000,32613,0,True,rapideye,0,5000,1263368,2017-08-27T20:18:28Z,0,149.13803,3624500,307500,-13.02246,1263293,1,REOrthoTile,6.5,2017-08-27T20:18:28Z
20090830_183816_1354107_RapidEye-3,1354107,2009-08-30T18:38:16Z,RapidEye-3,65.30493,5,5000,32613,0,True,rapideye,0,5000,1587601,2017-08-27T15:33:04Z,0,162.09263,3624500,307500,3.45099,1587541,1,REOrthoTile,6.5,2017-08-27T15:33:04Z
20091009_183749_1354107_RapidEye-5,1354107,2009-10-09T18:37:49Z,RapidEye-5,50.81072,5,5000,32613,0,True,rapideye,0,5000,1792119,2017-08-27T09:26:04Z,0,173.31638,3624500,307500,3.5155,1792046,1,REOrthoTile,6.5,2017-08-27T09:26:04Z
20090930_184831_1354107_RapidEye-5,1354107,2009-09-30T18:48:31Z,RapidEye-5,54.41109,5,5000,32613,0,True,rapideye,0,5000,1747676,2017-08-27T08:24:48Z,0,176.14772,3624500,307500,-16.32828,1747606,1,REOrthoTile,6.5,2017-08-27T08:24:48Z
20091106_184435_1354107_RapidEye-4,1354107,2009-11-06T18:44:35Z,RapidEye-4,41.33323,5,5000,32613,0,True,rapideye,0.78,5000,1982010,2017-08-27T04:05:30Z,0.78,177.852,3624500,307500,-13.01845,1981937,0.22,REOrthoTile,6.5,2017-08-27T04:05:30Z
20091120_183844_1354107_RapidEye-4,1354107,2009-11-20T18:38:44Z,RapidEye-4,37.58549,5,5000,32613,0,True,rapideye,0,5000,2084205,2017-08-27T03:24:19Z,0,175.65241,3624500,307500,3.5707,2084148,1,REOrthoTile,6.5,2017-08-27T03:24:19Z
20091127_184729_1354107_RapidEye-1,1354107,2009-11-27T18:47:29Z,RapidEye-1,36.26286,5,5000,32613,0,True,rapideye,0.66,5000,2131493,2017-08-26T23:59:16Z,0.66,177.70484,3624500,307500,-9.98003,2131436,0.34,REOrthoTile,6.5,2017-08-26T23:59:16Z
20091213_184155_1354107_RapidEye-3,1354107,2009-12-13T18:41:55Z,RapidEye-3,34.14685,5,5000,32613,0,True,rapideye,0,5000,2216124,2017-08-26T23:22:49Z,0,174.40999,3624500,307500,0.3753,2216065,1,REOrthoTile,6.5,2017-08-26T23:22:49Z
20100110_185106_1354107_RapidEye-2,1354107,2010-01-10T18:51:06Z,RapidEye-2,35.35219,5,5000,32613,0,True,rapideye,0.62,5000,2368016,2017-08-26T20:38:38Z,0.62,173.12095,3624500,307500,-16.17237,2367944,0.38,REOrthoTile,6.5,2017-08-26T20:38:38Z
20091224_183312_1354107_RapidEye-5,1354107,2009-12-24T18:33:12Z,RapidEye-5,33.54695,5,5000,32613,0,True,rapideye,0,5000,2278455,2017-08-26T19:57:46Z,0,170.56667,3624500,307500,16.09356,2278396,1,REOrthoTile,6.5,2017-08-26T19:57:46Z
20100303_184219_1354107_RapidEye-2,1354107,2010-03-03T18:42:19Z,RapidEye-2,49.90394,5,5000,32613,0,True,rapideye,0,5000,2715963,2017-08-26T12:42:16Z,0,165.5612,3624500,307500,6.92418,2715899,1,REOrthoTile,6.5,2017-08-26T12:42:16Z
20100506_184327_1354107_RapidEye-4,1354107,2010-05-06T18:43:27Z,RapidEye-4,73.5198,5,5000,32613,0,True,rapideye,0.58,5000,3211871,2017-08-26T03:09:03Z,0.58,162.16943,3624500,307500,0.23275,3211821,0.42,REOrthoTile,6.5,2017-08-26T03:09:03Z
