iteration,num.plants,plant.size,aim.sum,aim.count,aim.multiples,haf.sum,haf.count,haf.duplicates,plot.average,plot.max
1,Sparse,Medium,22.95199673,16,4,23.80469464,6,4,22.43341059,23.84199396
2,Sparse,Medium,23.23035849,8,1,23.75527989,2,0,22.26331637,23.7211404
3,Sparse,Medium,22.13148058,16,2,23.29788997,4,2,22.06370286,23.42891124
4,Sparse,Medium,22.24305073,11,0,23.44631799,4,2,22.25679856,23.69413075
5,Sparse,Medium,22.71055808,8,0,23.15284368,3,2,22.19261493,23.67367822
6,Sparse,Medium,22.33897736,7,0,22.97892505,3,1,22.268704,23.63330166
7,Sparse,Medium,22.3603736,9,0,23.33765632,2,2,22.30642103,23.73378431
8,Sparse,Medium,22.97779044,5,0,23.84466197,2,0,22.08746074,23.49680291
9,Sparse,Medium,23.61499749,3,0,24.07389491,1,1,22.21441921,23.62612127
10,Sparse,Medium,22.38937966,17,1,22.93466172,7,3,21.94492841,23.32583836
11,Sparse,Medium,22.61086741,7,0,23.57259999,3,1,22.38306779,23.78402683
12,Sparse,Medium,22.40903889,11,0,23.76316379,4,3,22.26649735,23.71645068
13,Sparse,Medium,22.69073164,8,0,23.49765444,4,2,22.13874602,23.61652338
14,Sparse,Medium,23.4022536,7,0,24.72481401,2,2,22.33928249,23.70351579
15,Sparse,Medium,22.8306686,13,3,23.78390188,4,3,22.33293509,23.6997386
16,Sparse,Medium,22.57911712,13,1,23.82058636,4,2,22.29947094,23.71406351
17,Sparse,Medium,23.00070518,16,4,23.66772699,6,3,22.33650618,23.7152665
18,Sparse,Medium,22.03636055,15,1,23.25535602,4,4,22.1352235,23.54934547
19,Sparse,Medium,22.78037263,8,0,23.27689096,3,1,22.18844731,23.55276471
20,Sparse,Medium,22.40509809,19,3,23.66861257,6,5,22.10264817,23.53734337
21,Sparse,Medium,23.81925115,4,0,24.53204574,2,0,22.41789367,23.8740079
22,Sparse,Medium,22.93983132,6,3,23.75805872,2,1,22.25287492,23.75606915
23,Sparse,Medium,23.01601674,9,5,23.23007072,3,2,21.97217671,23.41305216
24,Sparse,Medium,21.95229587,11,0,23.44693813,4,2,21.99043992,23.34188416
25,Sparse,Medium,23.27850369,8,0,24.32853541,3,0,22.38250437,23.70102533
26,Sparse,Medium,22.23005292,2,0,0,0,0,22.23885719,23.66642096
27,Sparse,Medium,21.78517447,8,1,22.42382574,3,0,22.00963973,23.49720887
28,Sparse,Medium,23.71143317,8,4,24.93601187,4,3,21.87271974,23.33866461
29,Sparse,Medium,22.66686281,10,0,23.38011061,4,1,22.05598065,23.43188097
30,Sparse,Medium,23.13946193,7,0,23.7011577,3,2,22.10855739,23.59438294
31,Sparse,Medium,22.17134455,10,1,23.65012386,4,3,22.08522271,23.45321128
32,Sparse,Medium,22.4628025,9,0,23.34234899,2,1,22.37367608,23.73463539
33,Sparse,Medium,22.00727681,4,0,22.88020828,1,1,22.41606459,23.7566274
34,Sparse,Medium,22.08958927,6,0,23.77422148,1,0,22.18476747,23.63324629
35,Sparse,Medium,22.61585282,7,0,23.22299712,2,1,22.07117349,23.44826536
36,Sparse,Medium,22.27951091,18,0,23.49522283,5,4,21.98429244,23.41381719
37,Sparse,Medium,22.8849549,12,0,23.95890837,4,2,22.28214352,23.61958801
38,Sparse,Medium,23.15483803,6,0,23.55665459,3,2,22.1168441,23.57646296
39,Sparse,Medium,22.35128515,23,2,23.27793513,8,6,22.004331,23.49177177
40,Sparse,Medium,22.99194181,14,5,24.38292979,5,3,22.19744311,23.50262444
41,Sparse,Medium,23.66036511,9,0,24.27941391,3,2,22.20012779,23.49399363
42,Sparse,Medium,22.49525417,16,0,23.29909862,5,4,22.08712413,23.54774222
43,Sparse,Medium,23.06198036,13,0,23.87119951,3,3,22.11505443,23.45988786
44,Sparse,Medium,22.88233434,21,0,23.57281812,5,3,22.14661092,23.51467785
45,Sparse,Medium,22.40793888,7,0,0,0,0,22.16645326,23.55381877
