"RecKey","Type","SpeciesCode","Data","avgHeightTop","avgHeightLower1","avgHeightLower2","avgHeightLower3","avgHeightLower4","avgHeightSurface","avgHeightWoody","avgHeightHerb"
"1506240729267264","B","BOGR2",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506240729267264","B","PPSH",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506240729267264","B","CAFI",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506240729267264","B","ARTRW8",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506240729267264","C","CAFI",38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506240729267264","C","HECO26",14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506240729267264","C","BOGR2",6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506240729267264","C","LUPINPF",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506240729267264","C","ACHY",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506240729267264","C","ARTRW8",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506240729267264","C","PSLA3",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506240729267264","H","ERBRB4",0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00
"1506240729267264","H","HECO26",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.60
"1506240729267264","H","TECA2",0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00
"1506240729267264","H","ACHY",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00
"1506240729267264","H","CAFI",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00
"1506240729267264","H","PSLA3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00
"1506240729267264","H","STRU3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00
"1508171551324747","B","PPSH",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171551324747","B","ARTRV",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171551324747","B","PPGG",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171551324747","C","NAVI4",14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171551324747","C","MARE11",14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171551324747","C","ELAL7",8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171551324747","C","ERUMM",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171551324747","C","SYORU",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171551324747","C","CEAR4",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171551324747","C","GABO2",8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171551324747","C","PPSH",8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171551324747","C","ARTRV",24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171551324747","C","PRVI",12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171551324747","C","PPFF",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171551324747","C","BRTE",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171551324747","C","ELTRT",8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171551324747","C","CAREX",8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171551324747","C","SOVE6",12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171551324747","C","PUTR2",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171551324747","C","PPGG",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171551324747","C","POSE",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171551324747","C","PHMU3",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171551324747","H","PRVI",0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.33,0.00
"1508171551324747","H","NAVI4",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.75
"1508171551324747","H","ARTRV",0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,0.00
"1508171551324747","H","PPSH",0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,0.00
"1508171551324747","H","ELTRT",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00
"1508171551324747","H","MARE11",0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
"1508171551324747","H","POSE",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.00
"1508171551324747","H","ACGL",0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.00,0.00
"1508171551324747","H","FEID",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.00
"1508171551324747","H","ELAL7",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.00
"1508171551324747","H","GABO2",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00
"1508191849011858","B","JUCOD",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508191849011858","C","PPTR",52.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508191849011858","C","CAREX",12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508191849011858","C","ELTRT",8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508191849011858","C","ALLE7",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508191849011858","C","PICO",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508191849011858","C","JUCOD",34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508191849011858","C","PPGG",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508191849011858","C","POTR5",10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508191849011858","C","PIFL2",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508191849011858","C","FEID",10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508191849011858","C","PRVI",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508191849011858","C","ERUMM",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508191849011858","C","ARCO5",6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508191849011858","H","PPTR",0.00,0.00,0.00,0.00,0.00,0.00,0.00,1445.00,0.00
"1508211139495812","H","PUTR2",0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.50,0.00
"1508211139495812","H","PSSP6",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.00
"1508211139495812","H","ELAL7",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
"1507111053267258","B","ARTRW8",8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111053267258","B","POFE",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111053267258","B","ARNO4",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111053267258","C","ARTRW8",20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111053267258","C","POSE",12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111053267258","C","ARHO4",8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111053267258","C","PSSP6",14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111053267258","C","POFE",12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111053267258","C","CORA5",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111053267258","C","ARNO4",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111053267258","C","CHVI8",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111053267258","H","ARTRW8",0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.50,0.00
"1507111053267258","H","PSSP6",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.50
"1507111053267258","H","PPSH",0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.33,0.00
"1507111053267258","H","PPGG",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00
"1507111053267258","H","POSE",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.50
"1507111053267258","H","ARNO4",0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00
"1507111053267258","H","POFE",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00
"1507111053267258","H","STAC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50,0.00
"1507111024302393","B","POSE",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111024302393","B","ARTRW8",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111024302393","B","ARNO4",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111024302393","C","POSE",24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111024302393","C","ARNO4",8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111024302393","C","PSSP6",8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111024302393","C","ARTRW8",18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111024302393","C","PHHO",8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111024302393","C","CADU6",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111024302393","C","HECO26",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111024302393","H","ARNO4",0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00
"1507111024302393","H","PSSP6",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.33
"1507111024302393","H","ARTRW8",0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00
"1507111024302393","H","HECO26",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00
"1507111137085828","B","ARTRW8",12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111137085828","B","PPSH",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111137085828","C","POFE",14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111137085828","C","POSE",6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111137085828","C","ARTRW8",34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111137085828","C","PSSP6",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111137085828","C","ARHO4",8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111137085828","C","PPSH",8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111137085828","C","ELLA3",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111137085828","C","CAREX",12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111137085828","C","CORA5",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111137085828","C","CAFI",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111137085828","C","ANTENPF",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507111137085828","C","PHHO",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"150811092015829","H","ARTRW8",0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.43,0.00
"150811092015829","H","POSE",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.17
"1508110940006201","B","CAFI",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508110940006201","B","ARTRW8",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508110940006201","C","CAFI",10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508110940006201","C","POSE",26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508110940006201","C","ARTRW8",16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508110940006201","C","ELLA3",12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508110940006201","C","PPSH",6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508110940006201","C","HECO26",6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508110940006201","H","POSE",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.67
"1508110940006201","H","ARTRW8",0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00
"1508110940006201","H","ELLA3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.50
"1508110940006201","H","HECO26",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.00
"1508110940006201","H","PPSH",0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.50,0.00
"1508111430572159","B","ARTRW8",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508111430572159","C","CAFI",56.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508111430572159","C","HECO26",30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508111430572159","C","ASNE3",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508111430572159","C","ELLA3",6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508111430572159","C","ARTRW8",6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508111430572159","C","POSE",8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508111430572159","H","HECO26",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.80
"1508111430572159","H","ELLA3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.00
"1508111430572159","H","SPCO",0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.67,0.00
"1508111430572159","H","CHVI8",0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00
"1508111430572159","H","POSE",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00
"1508111430572159","H","ARTRW8",0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00
"1508111458495118","B","CAFI",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508111458495118","B","PHHO",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508111458495118","C","BOGR2",22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508111458495118","C","CAFI",38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508111458495118","C","HECO26",24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508111458495118","C","PHHO",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508111458495118","C","POSE",14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508111458495118","C","PPFF",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508111458495118","C","ACHY",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508111458495118","H","HECO26",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.33
"1508111458495118","H","SPCO",0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.67,0.00
"1508111458495118","H","OESU3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00
"1508111458495118","H","BOGR2",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00
"1508111458495118","H","COUMP",0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00
"150811153017815","C","CAFI",68.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"150811153017815","C","HECO26",18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"150811153017815","C","ELLA3",14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"150811153017815","C","POSE",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"150811153017815","C","ARTRW8",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"150811153017815","H","HECO26",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.25
"1508171350107607","B","ARTRV",6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171350107607","B","PUTR2",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171350107607","C","PUTR2",42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171350107607","C","ARTRV",24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171350107607","C","SYORU",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171350107607","C","NAVI4",14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171350107607","C","ELAL7",14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171350107607","C","CAREX",6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171350107607","C","CEAR4",12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171350107607","C","COUMP",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171350107607","C","PSSP6",8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171350107607","C","ERUMM",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171350107607","C","EUEL2",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171350107607","C","FEID",12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171350107607","C","ANTENPF",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171350107607","C","POSE",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508171350107607","H","PUTR2",0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.40,0.00
"1508171350107607","H","BRTE",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00
"1508171350107607","H","NAVI4",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.67
"1508171350107607","H","ELAL7",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00
"1508171350107607","H","ARTRV",0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.00,0.00
"1508171350107607","H","LULE3",0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00
"1508171350107607","H","FEID",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00
"1508171350107607","H","PSSP6",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00
"1508171350107607","H","MARE11",0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00
"1508051342455706","B","CHVI8",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508051342455706","B","ARTRW8",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508051342455706","C","HECO26",10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508051342455706","C","BRTE",8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508051342455706","C","ELLA3",48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508051342455706","C","PPSH",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508191849011858","H","ELTRT",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.00
"1508191849011858","H","PIFL2",0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00
"1508191849011858","H","POWH2",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00
"1508191849011858","H","CAREX",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.50
"1508191849011858","H","POTR5",0.00,0.00,0.00,0.00,0.00,0.00,0.00,1103.00,0.00
"1508191849011858","H","PPGG",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00
"1508191849011858","H","JUCOD",0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00
"1508191849011858","H","FEID",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.00
"1508191849011858","H","ARTRV",0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00
"1508211139495812","B","PUTR2",8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508211139495812","B","ERUMM",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508211139495812","B","FEID",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508211139495812","B","ARTRV",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508211139495812","C","PUTR2",24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508211139495812","C","SYORU",10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508211139495812","C","PSSP6",12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1508211139495812","C","LIRU4",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506221421522699","B","CAFI",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506221421522699","B","SH01",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506221421522699","B","ARHO4",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506221421522699","C","CAFI",36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506221421522699","C","PSSP6",10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506221421522699","C","POSE",14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506221421522699","C","SH01",8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506221421522699","C","ARHO4",8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506221421522699","H","PSSP6",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.86
"1506221421522699","H","SH01",0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.75,0.00
"1506221421522699","H","HECO26",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00
"1506221421522699","H","CAFI",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00
"1506221458519471","B","SH01",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506221458519471","B","ASTRA",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506221458519471","B","PHHO",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506221458519471","C","SH01",12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506221458519471","C","PSSP6",16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506221458519471","C","CAFI",42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506221458519471","C","POSE",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506221458519471","C","HECO26",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506221458519471","C","ASTRA",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506221458519471","C","PHHO",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1506221458519471","H","PSSP6",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.71
"1506221458519471","H","HECO26",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00
"1506221458519471","H","SH01",0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.50,0.00
"1506221458519471","H","CAFI",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00
"1506221421522699","B","POSE",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507091606128833","B","ARTRW8",10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507091606128833","B","PPSH",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1507091606128833","C","ARTRW8",30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
