"PlotKey","LineKey","DateModified","LineID","Azimuth","ElevationType","NorthType","NorthingStart","EastingStart","ElevationStart","NorthingEnd","EastingEnd","ElevationEnd","LatitudeStart","LongitudeStart","LatitudeEnd","LongitudeEnd"
"1506221143312224","1506221143344694",6/25/2015 14:40:19,"3",240,1,2,4809970.99,762070.07,1786.68,4809959.21,762048.91,1785.14,43.39,-107.76,43.39,-107.76
"1506221143312224","1506221143346550",6/25/2015 14:40:13,"2",120,1,2,4809970.09,762078.79,1786.34,4809957.65,762100.53,1781.26,43.39,-107.76,43.39,-107.76
"1506221143312224","1506221143346663",6/25/2015 14:40:07,"1",0,1,2,4809976.52,762072.99,1786.68,4810002.33,762071.08,1795.56,43.39,-107.76,43.39,-107.76
"1506230731355652","1506230731381287",7/8/2015 14:48:59,"3",240,1,2,4792802.43,764114.25,1666.32,4792788.74,764093.38,1664.98,43.24,-107.74,43.24,-107.74
"1506230731355652","1506230731383143",7/8/2015 14:48:57,"2",120,1,2,4792799.04,764123.01,1666.18,4792788.84,764151.28,1658.86,43.24,-107.74,43.24,-107.74
"1506230731355652","1506230731386966",7/8/2015 14:48:31,"1",0,1,2,4792808.26,764117.08,1665.86,4792833.35,764118.59,1662.42,43.24,-107.74,43.24,-107.74
"1506231003191135","1506231003232808",6/29/2015 9:33:58,"1",0,1,2,4727592.15,694423.09,1803.23,4727614.34,694419.09,1800.50,42.67,-108.62,42.67,-108.62
"1506231003191135","150623100323500",6/29/2015 9:34:00,"2",120,1,2,4727583.54,694428.52,1803.90,4727573.58,694449.40,1805.46,42.67,-108.62,42.67,-108.62
"1506231003191135","1506231003238643",6/29/2015 9:34:01,"3",240,1,2,4727582.84,694418.58,1803.56,4727571.51,694399.31,1804.23,42.67,-108.62,42.67,-108.62
"1506231804012712","1506231804031613",7/8/2015 14:49:53,"3",240,1,2,4780247.35,743392.55,1564.00,4780236.25,743371.12,1565.38,43.13,-108.00,43.13,-108.00
"1506231804012712","1506231804033765",7/8/2015 14:49:50,"1",0,1,2,4780254.51,743398.67,1562.05,4780279.60,743400.94,1561.52,43.13,-108.00,43.13,-108.00
"1506231804012712","1506231804037660",7/8/2015 14:49:52,"2",120,1,2,4780247.06,743402.74,1562.99,4780234.96,743425.78,1565.29,43.13,-108.00,43.13,-108.00
"1506241018357782","1506241018372438",7/8/2015 14:49:25,"3",240,1,2,4779107.25,748981.81,1623.78,4779096.12,748960.48,1623.39,43.12,-107.93,43.12,-107.93
"1506241018357782","1506241018376003",7/8/2015 14:49:22,"2",120,1,2,4779106.70,748991.28,1623.69,4779093.24,749011.40,1622.92,43.12,-107.93,43.12,-107.93
"1506241018357782","1506241018379349",7/8/2015 14:49:20,"1",0,1,2,4779113.58,748987.61,1624.09,4779139.30,748989.71,1624.78,43.12,-107.93,43.12,-107.93
"1506300857547984","1506300857561831",7/8/2015 14:50:28,"1",0,1,2,4796626.67,734917.96,1475.25,4796651.40,734917.76,1477.54,43.28,-108.10,43.28,-108.10
"1506300857547984","1506300857562334",7/8/2015 14:50:31,"3",240,1,2,4796618.69,734912.58,1475.67,4796605.50,734890.82,1475.97,43.28,-108.10,43.28,-108.10
"1506300857547984","1506300857568382",7/8/2015 14:50:30,"2",120,1,2,4796618.58,734922.93,1475.25,4796607.62,734945.73,1473.91,43.28,-108.10,43.28,-108.10
"1507010828143479","1507010828162276",7/8/2015 14:50:10,"2",120,1,2,4762929.99,758361.03,1726.23,4762916.47,758381.11,1726.19,42.97,-107.83,42.97,-107.83
"1507010828143479","1507010828164479",7/8/2015 14:50:09,"1",0,1,2,4762938.29,758356.31,1725.99,4762963.24,758355.12,1725.41,42.97,-107.83,42.97,-107.83
"1507010828143479","1507010828166228",7/8/2015 14:50:12,"3",240,1,2,4762930.10,758351.09,1726.10,4762918.44,758330.84,1725.38,42.97,-107.83,42.97,-107.83
"1507011328208001","1507011328232992",8/3/2015 16:29:11,"2",120,1,2,4725505.08,688514.10,2098.87,4725493.92,688536.24,2094.54,42.65,-108.69,42.65,-108.69
"1507011328208001","1507011328236944",8/3/2015 16:29:13,"3",240,1,2,4725504.88,688505.05,2100.20,4725494.08,688484.33,2102.37,42.65,-108.70,42.65,-108.70
"1507011328208001","1507011328237122",8/3/2015 16:29:05,"1",0,1,2,4725513.91,688507.79,2098.05,4725538.38,688507.69,2095.79,42.65,-108.69,42.65,-108.69
"1507020626281401","1507020626301996",7/8/2015 14:51:00,"2",120,1,2,4746637.45,741325.47,1798.38,4746626.20,741346.48,1800.16,42.83,-108.04,42.83,-108.04
"1507020626281401","1507020626305948",7/8/2015 14:51:01,"3",240,1,2,4746637.62,741315.08,1794.74,4746626.41,741293.59,1792.23,42.83,-108.04,42.83,-108.04
"1507020626281401","1507020626308887",7/8/2015 14:50:58,"1",0,1,2,4746643.28,741319.83,1796.27,4746668.78,741317.10,1793.26,42.83,-108.04,42.83,-108.04
"150702105125141","1507021051281146",8/3/2015 16:31:36,"3",240,1,2,4727013.42,704217.60,1962.16,4727002.51,704197.70,1967.48,42.66,-108.50,42.66,-108.50
"150702105125141","1507021051283672",8/3/2015 16:31:34,"2",120,1,2,4727015.56,704226.77,1957.66,4727005.74,704249.47,1951.17,42.66,-108.50,42.66,-108.50
"150702105125141","1507021051285955",8/3/2015 16:31:30,"1",0,1,2,4727023.36,704222.65,1957.45,4727044.65,704222.25,1963.57,42.66,-108.50,42.66,-108.50
"150706151723401","1507061517253434",8/3/2015 16:30:57,"2",120,1,2,4727863.51,734924.75,2148.04,4727852.12,734946.81,2158.67,42.66,-108.13,42.66,-108.13
"150706151723401","1507061517256259",8/3/2015 16:30:56,"1",0,1,2,4727870.32,734918.19,2148.04,4727895.32,734912.93,2144.21,42.66,-108.13,42.66,-108.13
"150706151723401","1507061517257386",8/3/2015 16:30:58,"3",240,1,2,4727861.25,734916.16,2147.28,4727849.06,734895.00,2144.33,42.66,-108.13,42.66,-108.13
"1507070944219164","1507070944245832",8/3/2015 16:30:17,"1",0,1,2,4713594.23,722727.22,2053.70,4713619.10,722726.86,2053.18,42.54,-108.28,42.54,-108.28
"1507070944219164","150707094424812",8/3/2015 16:30:21,"2",120,1,2,4713586.31,722733.56,2053.95,4713576.82,722756.43,2054.83,42.54,-108.28,42.54,-108.28
"1507070944219164","1507070944248528",8/3/2015 16:30:23,"3",240,1,2,4713585.96,722724.13,2053.81,4713574.87,722703.00,2053.79,42.54,-108.28,42.54,-108.28
"1507091035121292","1507091035141158",8/3/2015 16:31:17,"1",0,1,2,4707041.82,682850.48,2529.87,4707066.23,682851.41,2531.14,42.49,-108.77,42.49,-108.77
"1507091035121292","1507091035142907",8/3/2015 16:31:19,"3",240,1,2,4707034.86,682845.82,2529.53,4707022.59,682821.95,2529.11,42.49,-108.77,42.49,-108.77
"1507091035121292","1507091035148954",8/3/2015 16:31:18,"2",120,1,2,4707034.79,682854.72,2529.51,4707021.78,682874.99,2529.43,42.49,-108.77,42.49,-108.77
"1507091505144307","150709150516336",7/9/2015 15:08:21,"1",0,1,2,4686189.51,712983.57,2172.23,4686214.38,712985.97,2172.58,42.29,-108.41,42.29,-108.41
"1507091505144307","1507091505165087",7/29/2015 10:01:24,"3",240,1,2,4686182.52,712981.73,2172.13,4686169.32,712960.29,2172.04,42.29,-108.41,42.29,-108.41
"1507091505144307","1507091505166943",7/9/2015 15:08:26,"2",120,1,2,4686182.03,712990.66,2172.09,4686167.05,713010.12,2171.94,42.29,-108.41,42.29,-108.41
"1507100935406128","1507100935422291",8/3/2015 16:31:07,"2",120,1,2,4702323.91,703278.38,2270.39,4702311.93,703299.43,2268.30,42.44,-108.52,42.44,-108.52
"1507100935406128","1507100935425042",8/3/2015 16:31:08,"3",240,1,2,4702322.08,703268.52,2271.44,4702306.67,703249.73,2273.75,42.44,-108.52,42.44,-108.52
"1507100935406128","1507100935429874",8/3/2015 16:31:06,"1",0,1,2,4702332.07,703273.56,2271.30,4702356.12,703273.07,2270.99,42.44,-108.52,42.44,-108.52
