"SiteKey","PlotKey","DateModified","PlotID","genericPlot","EstablishDate","State","County","Directions","AvgPrecip","AvgPrecipUOM","EcolSite","EcolSiteMLRA","EcolSiteSubMLRA","EcolSiteNum","EcolSiteState","Soil","ParentMaterial","Slope","Aspect","ESD_SlopeShape","LandscapeType","LandscapeTypeSecondary","MgtUnit","GPSCoordSys","Datum","Zone","Easting","Northing","Elevation","ElevationType","RecentWeatherPast12","RecentWeatherPrevious12","DisturbWildfire","DisturbRodents","DisturbMammals","DisturbWater","DisturbWind","DisturbWaterSoilDep","DisturbWindSoilDep","DisturbUndgroundUtils","DisturbOverhdTransLines","DisturbOther","DisturbOtherDesc","WildlifeUse","MgtHistory","OffsiteInfluences","Comments","SpeciesList","DensityList","MapUnitComponent","SoilPhase","Unused3","Unused4","ESD_MLRA","ESD_CRA","Unused5","ESD_Region","ESD_Investigators","ESD_Bedrock","Unused6","ESD_MajorLandform","ESD_ComponentLandform","HillslopeType","ESD_GeomorphicComp","ESD_RunIn_RunOff","ESD_SlopeComplexity","Unused7","Unused8","Unused9","Unused10","Unused11","ESD_LitterClass","ESD_BiologicalCrustClass","Unused12","Unused13","Unused14","Unused15","Unused16","Unused17","Unused18","Unused19","Unused20","ESD_Series","ESD_ParticleSizeClass","ESD_Mineralogy","ESD_SoilTempRegime","ESD_DepthClass","ESD_Subgroup","ESD_Greatgroup","ESD_Reaction","ESD_SoilMoistureRegime","ESD_CationExchangeActivityClass","ESD_Epipedon","ESD_Subsurface_features","ESD_Depth_to_root_horizon","ESD_Type_root_horizon","ESD_Horizon_notes","ESD_TrackingID","Unused21","Unused22","EcolSite_Assoc1","EcolSite_Assoc2","EcolSite_Assoc3","EcolSite_Similar1","EcolSite_Similar2","EcolSite_Similar3","EcolSite_Notes","EcolSite_Lookup1","EcolSite_Lookup2","EcolSite_Lookup3","EcolSite_Text1","EcolSite_Text2","EcolSite_Text3","ESD_RecentWeatherPast12","ESD_ErosionPatternClass","Unused23","Unused24","Longitude","Latitude","CoordLabel1","CoordDistance1","Longitude1","Latitude1","Easting1","Northing1","CoordLabel2","CoordDistance2","Longitude2","Latitude2","Easting2","Northing2","CoordLabel3","CoordDistance3","Longitude3","Latitude3","Easting3","Northing3"
"1507091503268729","1506221143312224",9/17/2015 15:44:40,"LFO_ShalClay10_14_1",0,6/22/2015 0:00:00,"WY","Fremont","From the Lander Field office, head South on N 10th St/W Main St. Turn left onto WY-789 N, continue for 47 miles to Shoshoni. Turn left onto US-20W/Idaho St for 3 miles. Turn right onto Road 117/Bonneville Rd. After 2.5 miles look for a junction with a dirt road and go straight onto the dirt road. Continue for 15 miles to junction with 189/Point of Mountain Road. Continue for 6 miles on 189. Park near dirt tank and walk 1,700 ft West to plot.",235.74,"mm","R034AY322WY","R034","AY","322","WY","142","residium weathered from sandstone or slope alluviu",25.00,"19","LC","Fan Piedmont","",,"UTM","NAD 83","12N",762074.62,4809973.01,1786.68,1,"Wet","Wet",0,0,1,1,0,0,0,0,0,0,,"Pronhorn seen on site at arrival.  Cow dung not observed but site is less that 1/2 mile from dirt tank and animal path viible downhill in drainage.",,"Dit tank with water less than 1/2 mile away.",,"MAGR2;PSSP6;ARHO4;CAFI;SH01;ARFR4;POSE;HECO26;ASTRA;PHHO;CRYPTP;PF03;OPPO;ASTRAP;PF01;PF02;CHVI8;ERNA10;PF06;PF04;PF05;PF32;ERIGE2P;ERIOGP;ASTRAPF;ERIGE2PF;ERIOGPF;CRYPTPF;PF07;SH02;CREPIPF;TRIFOPF;","","diamondville, 2-15% slopes",,,,,,,,"Reanna Moore",,,,,,,,,,0,,,,,,,,,,,,,,,"Diamondville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-107.76,43.39,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00
"1506221942187783","1506230731355652",9/18/2015 10:10:47,"LFO_Sand5_9_1",0,6/23/2015 0:00:00,"WY","Fremont","From the Lander Field Office, head South on N 10th St/W Main St. Turn left onto WY-789 N, continue for 47 miles to Shoshoni. From Shoshoni, continue straight, going East on US-20 for 29 miles. Turn left on Lysite Moneta Road. Continue for about 11 miles, then turn left (about one mile south of Lysite).  Continue driving West for 2-3 miles and look for 2-track to South near small piece of state land. Walk about one mile South from dirt road or try to navigate closer on 2-track. Several deep gullies to cross en route; beware in wet weather.",165.95,"mm","R032XY250WY","R032","XY","250","WY","222","colluvium derived from calcareous sandstone",9.00,"4","VV","Fan Piedmont","",,"UTM","NAD 83","12N",764115.84,4792803.64,1665.86,1,"Wet","Wet",0,0,0,0,0,0,0,0,0,0,,"Active grazing, lots of cow tracks.",,"Dep drainage directly nirth.",,"ARTRW8;MAGR2;PSSP6;ARHO4;CAFI;SH01;ARFR4;POSE;HECO26;ASTRA;PHHO;SPCO;OPPO;KRLA2;BRTE;ACHY;LAOC3;ALDE;PLPA2;PF02;VUOC;BOGR2;PF03;ELLA3;PF08;PF09;CHVI8;YUGLG2;PSLA3;PF10;PF11;IPPU4;ELEL5;HAGL;CRYPTP;YUGL;ASTRAP;LUPINP;GACO5;CHDO;PF15;OEPA;ALTE;MACA2;GUSA2;PF19;IPCO5;EUBR;RHTR;ERIGE2P;SCSC15;PF18;PF21;PF22;PHPU12;PF20;PF24;PF33;OESU3;","","Worland, slope 1-10%, sandy",,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,"Worland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-107.74,43.24,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00
"1509171055298910","1506231003191135",9/11/2015 10:34:42,"GSG_ShalSand10_14_1",0,6/23/2015 0:00:00,"WY","Fremont","Travelling south on WY 28 from Lander, cross the Little Popo Agie river (and past the Little Popo Agie fishing access point). BLM 1:100,000 surface management status map- Lander 2010 shows three 2-track access roads SW of hwy 28. We used the farthest south one, closest to Barrel Spring on the map. Turn right at the first fork and plot is ~.5km NW on the 2-track that parallels 28. Plot center NE of road.",296.91,"mm","R032XY304WY","R032","XY","304","WY","39","alluvium derived from sandstone and shale",17.00,"45","LC","Hills/Mountains*","Backslope","Allotment","UTM","NAD 83","12N",694423.70,4727583.53,1803.90,1,"Wet","Normal",0,0,1,0,0,0,0,0,0,0,,"Saw approx. 5 pronghorn in/around plot, ungulate and cattle scat present on plot, pronghorn tracks, two game/cattle traisl through plot. Saw a small rattlesnake and a small horny toad on plot.","No additionanl information on management history. No obvious evidence of fire/mechanical/chemical control on site.","2-track road 50m SW of plot center, WY Hwy 28 350m NE of plot.",,"ACHNA;AF01;AF02;ALAL3;ANRO2;ARCA13;ARHO4;ARSO2;ARTRW8;ASTRA;BAIN;BROMU;BRTE;CANU3;CASTI2;CHVI8;COPA3;CRIN4;DRABA;EPBR3;ERICA2;ERIGE2;GUSA2;JUSC2;KOMA;LERE7;MINU;OPPO;PEHU;PF01;PF03;PG01;PG02;PG03;PG04;PHHO;PHMU3;PIFL2;POSE;PUTR2;RICEP;SPCO;STAR10;TAOF;TRDU;VIAMM3;ARTR4;","","Forelle",,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,"Patent-Forelle association",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-108.62,42.67,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00
"1506221942187783","1506231804012712",9/18/2015 10:12:15,"LFO_Sand5_9_3",0,6/24/2015 0:00:00,"WY","Fremont","From the Lander Field Office, head South on N 10th St/W Main St. Turn left onto WY-789 N, continue for 47 miles to Shoshoni. From Shoshoni go South on 404/Muskrat Road for 3 miles. Turn left on Davison Ranch Rd, heading SE for 8.5 miles. Turn right to head SW (towards gas development and pipelines), continue for 2-3 miles. Walk 1400 ft East to plot.",179.18,"mm","R032XY266WY","R032","XY","266","WY","222","alluvium derived from calcareous sandstone",9.00,"238","CC","Fan Piedmont","",,"UTM","NAD 83","12N",743396.82,4780249.01,1562.05,1,"Wet","Normal",0,0,1,0,0,0,0,1,0,0,,"cows, pronghorn scat",,"adjacent 2 track to the NE","gas pipelines present in area","ARTRW8;MAGR2;PSSP6;ARHO4;CAFI;SH01;ARFR4;POSE;HECO26;ASTRA;PHHO;SPCO;OPPO;KRLA2;BRTE;CRYPT;ACHY;LAOC3;ALDE;PLPA2;PF02;VUOC;BOGR2;PF03;ELLA3;PF08;PF09;CHVI8;YUGLG2;PSLA3;PF10;PF11;LUPIN;TECA2;PPSH;ERNA10;PG01;PHPU12;PG03;PF28;PF13;PF15;PENSTP;ELEL5;ZIVE;LUPINP;CRYPTP;ASTRAP;COUMP;YUGL;IPPU4;ALLE7;PF26;PG02;CRYPTA;PENSTA;OOMU;PF51;PF52;LUPINPF;AMBROAF;HELIA3AF;OENOTPF;RUMEXPF;PHLOXPF;CALOCPF;OESU3;","","Oceanet, slope 5-15%, shallow sandy",,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,"Worland-Oceanet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-108.00,43.13,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00
"1506221942187783","1506241018357782",9/17/2015 16:14:51,"LFO_Sand5_9_2",0,6/24/2015 0:00:00,"WY","Fremont","From the Lander Field Office, head South on N 10th St/W Main St. Turn left onto WY-789 N, continue for 47 miles to Shoshoni. From Shoshoni go South on 404/Muskrat Road for 3 miles. Turn left on Davison Ranch Rd, heading SE for 11-12 miles. Walk 4,500 ft SW to plot. ",184.13,"mm","R032XY250WY","R032","XY","250","WY","154","alluvium derived from sandstone and sha",16.00,"44","LV","Fan Piedmont","",,"UTM","NAD 83","12N",748985.43,4779110.62,1624.09,1,"Wet","Normal",0,0,1,0,0,0,0,0,0,0,,,,,,"ARTRW8;MAGR2;PSSP6;ARHO4;CAFI;SH01;ARFR4;POSE;HECO26;ASTRA;PHHO;SPCO;OPPO;KRLA2;BRTE;CRYPT;ACHY;LAOC3;ALDE;PLPA2;PF02;VUOC;BOGR2;PF03;ELLA3;PF08;PF09;CHVI8;YUGLG2;PSLA3;PF10;PF11;LUPIN;TECA2;PPSH;ERNA10;PG01;PHPU12;PG03;PF28;IPPU4;PF30;ELEL5;ERIGE2P;SH02;PF31;ASTRAP;LUPINP;PF48; PF49; PF50;","","griffy sandy slope 1-8 %",,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,"Griffy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-107.93,43.12,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00
"1506221942187783","1506300857547984",9/17/2015 16:15:02,"LFO_Sand5_9_5",0,6/30/2015 0:00:00,"WY","Fremont","From the Lander Field Office, head South on N 10th St/W Main St. Turn left onto WY-789 N, continue for 47 miles to Shoshoni.  Turn left onto US-20W/Idaho St for 3 miles. Turn right onto Road 117/Bonneville Rd. Continue about 1/2 mile. Turn left on dirt road after wash, take faint northerly road about 1/3 mile, walk about 1,290 ft East to plot.",176.62,"mm","R032XY250WY","R032","XY","250","WY","108","Alluvium derived from calcareous sandstone",2.00,"308","CL","Floodplain/Flood basin","",,"UTM","NAD 83","12N",734917.74,4796620.62,1475.67,1,"Wet","Normal",0,0,1,0,0,0,0,0,0,0,,"Evidence of cattle and other large herbivores.",,"Wash to the northwest of plot.",,"ARTRW8;MAGR2;PSSP6;ARHO4;CAFI;SH01;ARFR4;POSE;HECO26;ASTRA;PHHO;SPCO;OPPO;KRLA2;BRTE;CRYPT;ACHY;LAOC3;ALDE;PLPA2;PF02;VUOC;BOGR2;PF03;ELLA3;PF08;PF09;CHVI8;YUGLG2;PSLA3;PF10;PF11;LUPIN;TECA2;PPSH;ERNA10;PG01;PHPU12;PG03;PF28;COUM;PF13;ZIGAD;PF15;PENSTP;ELEL5;ZIVE;LUPINP;CRYPTP;ASTRAP;AF01;AF02;PG04;AF03;AG01;SATR12;HEPE;ARCA13;YUGL;CHGL13;ARPE6;PF30;STRU3;MATA2;OEPA;ASTRAA;ERIOGP;PF05;ERIOGA;AF08;ALLE7;CRYPTA;DEPI;MEAL6;ASTRAAF;PG05;ERCE2;TRAGOAF;AF06;AF07;AF10;","","Apron",,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,"Apron-Lostwells complex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-108.10,43.28,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00
"1506221942187783","1507010828143479",9/17/2015 16:14:58,"LFO_Sand5_9_4",0,7/1/2015 0:00:00,"WY","Fremont","From the Lander Field Office, head South on N 10th St/W Main St. Turn left onto WY-789 N, continue for 23 miles to Riverton. Turn right onto WY-136 E/Gas Hills Rd and turn left again to stay on 136. Continue for 31 miles. Turn left towards ""jumping-off draw"". Contune straight (at vague road junction). Turn left at ""T"" shaped intersection. At ""butte well"", look for a road heading West. Continue SW onto state land. Veer left at vague intersection towards fence and cattle guard. Continue about 1 mile, veering right at Y intersection. Walk W/NW 2,200 ft to plot.",199.37,"mm","R032XY250WY","R032","XY","250","WY","154","Alluvium derived from calcerous sandstone",10.00,"345","LC","Fan Piedmont","",,"UTM","NAD 83","12N",758356.21,4762932.98,1726.23,1,"Wet","Wet",0,0,1,0,0,0,0,0,0,0,,"Cattle use evident by dung and tracks; possible hirses as well.",,,,"ARTRW8;MAGR2;PSSP6;ARHO4;CAFI;SH01;ARFR4;POSE;HECO26;ASTRA;PHHO;SPCO;OPPO;KRLA2;BRTE;CRYPT;ACHY;LAOC3;ALDE;PLPA2;PF02;VUOC;BOGR2;PF03;ELLA3;PF08;PF09;CHVI8;YUGLG2;PSLA3;PF10;PF11;LUPIN;TECA2;PPSH;ERNA10;PG01;PHPU12;PG03;PF28;COUM;PF13;ZIGAD;PF15;PENSTP;ELEL5;ZIVE;LUPINP;CRYPTP;ASTRAP;AF01;AF02;PG04;AF03;AG01;KOMA;PF34;PF35;PPGG;ARPE6;MACA2;OEPA;PG06;IPPU4;YUGL;TOIN;PF30;PF19;PF36;","","Wallson",,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,"Griffy-Saddle-Wallson Association",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-107.83,42.97,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00
"150917105703116","1507011328208001",9/18/2015 14:07:01,"GSG_Loam15_19_1",0,7/1/2015 0:00:00,"WY","Fremont","Access off Red Canyon Rd. is through private property with posted ""no tresspassing"" signs. Could not contact landowner, so took alternate route coming from south and west, through USFS land- longer, but public access.  

Directions: Travelling on Hwy 28 south, turn right (north) on to FS326 (toward Wild Iris climbing area). Continue on FS326 as it turns into a two-track and crosses over onto BLM land, go over the saddle, and site is very close to the faint two-track on the NE facing foothill slope.",356.40,"mm","R043BY322WY","R043","BY","322","WY","15","Colluvium/residuum of sandstone/limestone/dolomite",14.00,"36","LL","Hills/Mountains*","Backslope","Allotment","UTM","NAD 83","12N",688507.66,4725507.90,2098.87,1,"Normal","Normal",0,1,1,1,0,0,0,0,0,0,,"Cow paddies observed throughout plot, but all looked at least a year old. Ungulate and rabbit scat also observed throughout plot. No tracks seen.","No evidence of active management.","None of note.","There appears to be evidence of some other survey activity in and around this plot. We noticed a handful of orange posts and rebar stakes scattered throughout.","ACHNA;AF01;AF02;AF03;AF04;ALAL3;ANRO2;ARCA13;ARFR4;ARHO4;ARSO2;ARTRW8;ASTRA;BAIN;BASA3;BROMU;BRTE;CANU3;CAREX;CASTI2;CHVI8;COPA3;CREPI;CRIN4;DRABA;EPBR3;ERICA2;ERIGE2;GACO5;GETRC2;GUSA2;HEVIM3;JUSC2;KOMA;LERE7;MINU;OPPO;PEHU;PF01;PF03;PG01;PG02;PG03;PG04;PG05;PG06;PG07;PG08;PHHO;PHLO2;PHMU3;PIFL2;POSE;PUTR2;RICEP;SPCO;STAR10;TAOF;TECA2;TRDU;VIAMM3;MENTZAF;OESU3;","","Farlow",,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,"Farlow-Duncom association",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-108.69,42.65,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00
"1507091503268729","1507020626281401",9/17/2015 15:44:46,"LFO_ShalClay10_14_2",0,7/2/2015 0:00:00,"WY","Fremont","From the Lander Field Office, head South on N 10th St/W Main St. Turn left onto WY-789 N, continue for 23 miles to Riverton. Turn right onto WY-136 E/Gas Hills Rd. WY-136 E/Gas Hills Rd turns slightly right and becomes WY-135 S (Sand Draw Rd). Turn left onto 317 (Oil Springs Road). After about 6.5 miles, turn right to stay on 317. After about 2 miles, go straight towards a dirt tank. Contunue about 4 miles to an old cabin and a bridge. Continue straight through the gate onto state land. Cross pipeline and pass through a gate and out of state land. Walk about 1,500 ft North to plot, crossing a seasonally wet and muddy wash.",240.38,"mm","R034AY322WY","R034","AY","322","WY","157","Alluvium derived from mixed",5.00,"100","LC","Hills/Mountains*","Shoulder",,"UTM","NAD 83","12N",741319.17,4746640.07,1796.27,1,"Wet","Normal",0,0,1,0,0,0,0,0,0,0,,"Sheep observed in area.  Cattle also present.",,,,"ARTRW8;MAGR2;PSSP6;ARHO4;CAFI;SH01;ARFR4;POSE;HECO26;ASTRA;PHHO;SPCO;OPPO;KRLA2;BRTE;CRYPT;ACHY;LAOC3;ALDE;PLPA2;PF02;VUOC;BOGR2;PF03;ELLA3;PF08;PF09;CHVI8;YUGLG2;PSLA3;PF10;PF11;LUPIN;TECA2;PPSH;ERNA10;PG01;PHPU12;PG03;PF28;COUM;PF13;ZIGAD;PF15;PENSTP;ELEL5;ZIVI;ZIVE;LUPINP;CRYPTP;ASTRAP;AF01;AF02;PG04;AF03;AG01;KOMA;PF34;PF35;PPGG;ARPE6;SH03;PF37;PF38;LAOCC;PF05;PF44;MAGR;PF39;PF40;PF41;PF42; AF12;PF18;PF43;AF05;AG02;PF07;PF45;PF46;PF47;PASM;MACA2;LEARA2;AF12;ASTRAPF;PF53;","","Forelle",,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,"Havre-Absher-Forelle loams,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-108.04,42.83,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00
"1509171143193853","150702105125141",11/4/2015 16:15:30,"GSG_ShalSand10_14_2",0,6/30/2015 0:00:00,"WY","Fremont","Travelling east on Hwy 287, pass Johnny-behind-the-rocks and cross the 2nd Twin Creek bridge, after the bridge, immediately on the right (south) there is a gate to a well-established two-track, follow that main two-track until as close as possible to plot. We had to park on the two-track and duck under a barbed wire fence to get to the plot, which was about 200m down a hill to the east.",312.13,"mm","R032XY362WY","R032","XY","362","WY","169","Calcareous alluvium",35.00,"342","LL","Hills/Mountains*","Shoulder","Allotment","UTM","NAD 83","12N",704222.08,4727018.45,1957.45,1,"Wet","Normal",0,1,1,1,0,0,0,0,0,0,,"Ungulate and rabbit scat present. Multiple large burrows (badger?) and evidence of small burrowing rodents as well. Cow tracks and paddies observed, but no obvious cow trails observed on plot.","No evidence of active management activities.","Plot sandwiched between two roads: 2-track to the west and gravel road to the east. Barbed wire fencing along 2-track to the west.","Multiple large ant hills.","ACHNA;AF01;AF02;AF03;AF04;ALAL3;ALLIU;ANRO2;ARABI2;ARCA13;ARFR4;ARHO4;ARLU;ARNO4;ARSO2;ARTRV;ARTRW8;ASDR3;ASTRA;ASTRAAF;BAIN;BROMU;BRTE;CAFI;CANU3;CAREX;CAST4;CASTI2;CHVI8;COPA3;CRAC2;CREPI;CRIN4;DESCU;DRABA;EPBR3;ERICA2;ERIGE2;GUSA2;HECO26;JUSC2;KOMA;LERE7;LILE3;LOMAT;MAGR2;MINU;OPPO;ORFA;PEHU;PF01;PF02;PF03;PF04;PF05;PF11;PG01;PG02;PG03;PG04;PG05;PG06;PG07;PG08;PHHO;PHLO2;PHMU3;PIFL2;POSE;PUTR2;RICEP;SELA;SPCO;STAR10;TAOF;TRDU;VIAMM3;VUOC;ERNA10;PPGG;","","Luhon",,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,"Luhon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-108.50,42.66,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00
