"SpeciesCode","ScientificName","CommonName","Family","SortSeq","synonymOf","GrowthHabitCode","Duration","Stabilizing","Invasive"
"AAFF",,"AIM Dead Beyond Recognition Code - Annual Forb",,99,,"5","Annual",0,0
"AAGG",,"AIM Dead Beyond Recognition Code - Annual Grass",,99,,"6","Annual",0,0
"ABAM3","Abronia ammophila","Wyoming sand verbena","Nyctaginaceae",99,,"5","Perennial",0,0
"ABCO","Abies concolor","white fir","Pinaceae",99,,"1","Perennial",0,0
"ABEL","Abronia elliptica","fragrant white sand verbena","Nyctaginaceae",99,,"5","Perennial",0,0
"ABFR2","Abronia fragrans","snowball sand verbena","Nyctaginaceae",99,,"5","Perennial",0,0
"ABIES","Abies","fir","Pinaceae",99,,,,0,0
"ABLA","Abies lasiocarpa","subalpine fir","Pinaceae",99,,"1","Perennial",0,0
"ABLAL","Abies lasiocarpa var. lasiocarpa","subalpine fir","Pinaceae",99,,"1","Perennial",0,0
"ABME","Abronia mellifera","white sand verbena","Nyctaginaceae",99,,"5","Perennial",0,0
"ABRON","Abronia","sand verbena","Nyctaginaceae",99,,,,0,0
"ABTH","Abutilon theophrasti","velvetleaf","Malvaceae",99,,"5","Annual",0,0
"ABUTI","Abutilon","Indian mallow","Malvaceae",99,,,,0,0
"ACAR2","Acinos arvensis","basil thyme","Lamiaceae",99,,"5","Perennial",0,0
"ACARO2","Acarospora","cracked lichen","Acarosporaceae",99,,,,0,0
"ACBL","Achnatherum ×bloomeri",,"Poaceae",99,,"6","Perennial",0,0
"ACCO22","Achnatherum contractum","contracted ricegrass","Poaceae",99,,"6","Perennial",0,0
"ACCO4","Aconitum columbianum","Columbian monkshood","Ranunculaceae",99,,"5","Perennial",0,0
"ACCOC3","Aconitum columbianum ssp. columbianum","Columbian monkshood","Ranunculaceae",99,,"5","Perennial",0,0
"ACER","Acer","maple","Aceraceae",99,,,,0,0
"ACGL","Acer glabrum","Rocky Mountain maple","Aceraceae",99,,"1","Perennial",0,0
"ACGLD4","Acer glabrum var. douglasii","Douglas maple","Aceraceae",99,,"1","Perennial",0,0
"ACGLG2","Acer glabrum var. glabrum","Rocky Mountain maple","Aceraceae",99,,"1","Perennial",0,0
"ACGR3","Acer grandidentatum","bigtooth maple","Aceraceae",99,,"1","Perennial",0,0
"ACGRG","Acer grandidentatum var. grandidentatum","bigtooth maple","Aceraceae",99,,"1","Perennial",0,0
"ACHIL","Achillea","yarrow","Asteraceae",99,,,,0,0
"ACHNA","Achnatherum","needlegrass","Poaceae",99,,"6",,0,0
"ACHNAPG","Achnatherum","needlegrass (perennial grass)","Poaceae",99,,"6","Perennial",0,0
"ACHY","Achnatherum hymenoides","Indian ricegrass","Poaceae",99,,"6","Perennial",0,0
"ACINO","Acinos","acinos","Lamiaceae",99,,,,0,0
"ACLE9","Achnatherum lettermanii","Letterman's needlegrass","Poaceae",99,,"6","Perennial",0,0
"ACMI2","Achillea millefolium","common yarrow","Asteraceae",99,,"5","Perennial",0,1
"ACMIA","Achillea millefolium var. alpicola","common yarrow","Asteraceae",99,,"5","Perennial",0,0
"ACMIO","Achillea millefolium var. occidentalis","western yarrow","Asteraceae",99,,"5","Perennial",0,0
"ACNE10","Achnatherum nevadense","Nevada needlegrass","Poaceae",99,,"6","Perennial",0,0
"ACNE2","Acer negundo","boxelder","Aceraceae",99,,"1","Perennial",0,0
"ACNE9","Achnatherum nelsonii","Columbia needlegrass","Poaceae",99,,"6","Perennial",0,0
"ACNED","Achnatherum nelsonii ssp. dorei","Dore's needlegrass","Poaceae",99,,"6","Perennial",0,0
"ACNEI2","Acer negundo var. interius","boxelder","Aceraceae",99,,"1","Perennial",0,0
"ACNEN2","Achnatherum nelsonii ssp. nelsonii","Columbia needlegrass","Poaceae",99,,"6","Perennial",0,0
"ACNEV","Acer negundo var. violaceum","boxelder","Aceraceae",99,,"1","Perennial",0,0
"ACOC3","Achnatherum occidentale","western needlegrass","Poaceae",99,,"6","Perennial",0,0
"ACOCP","Achnatherum occidentale ssp. pubescens","pubescent western needlegrass","Poaceae",99,,"6","Perennial",0,0
"ACONI","Aconitum","monkshood","Ranunculaceae",99,,,,0,0
"ACPI2","Achnatherum pinetorum","pine needlegrass","Poaceae",99,,"6","Perennial",0,0
"ACRE3","Acroptilon repens","hardheads","Asteraceae",99,,"5","Perennial",0,0
"ACRI8","Achnatherum richardsonii","Richardson's needlegrass","Poaceae",99,,"6","Perennial",0,0
"ACRO7","Achnatherum robustum","sleepygrass","Poaceae",99,,"6","Perennial",0,0
"ACROP","Acroptilon","hardheads","Asteraceae",99,,,,0,0
"ACRU2","Actaea rubra","red baneberry","Ranunculaceae",99,,"5","Perennial",0,0
"ACRUA8","Actaea rubra ssp. arguta","red baneberry","Ranunculaceae",99,,"5","Perennial",0,0
"ACSC11","Achnatherum scribneri","Scribner needlegrass","Poaceae",99,,"6","Perennial",0,0
"ACSW3","Achnatherum swallenii","Swallen's needlegrass","Poaceae",99,,"6","Perennial",0,0
"ACTAE","Actaea","baneberry","Ranunculaceae",99,,,,0,0
"ACTH7","Achnatherum thurberianum","Thurber's needlegrass","Poaceae",99,,"6","Perennial",0,0
"ADAL","Adiantum aleuticum","Aleutian maidenhair","Pteridaceae",99,,"5","Perennial",0,0
"ADBI","Adenocaulon bicolor","American trailplant","Asteraceae",99,,"5","Perennial",0,0
"ADENO","Adenocaulon","trailplant","Asteraceae",99,,,,0,0
"ADIAN","Adiantum","maidenhair fern","Pteridaceae",99,,,,0,0
"ADMO","Adoxa moschatellina","muskroot","Adoxaceae",99,,"5","Perennial",0,0
"ADOXA","Adoxa","adoxa","Adoxaceae",99,,,,0,0
"AECY","Aegilops cylindrica","jointed goatgrass","Poaceae",99,,"6","Annual",0,0
"AEGIL","Aegilops","goatgrass","Poaceae",99,,"6",,0,0
"AF01",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF02",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF03",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF04",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF05",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF06",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF07",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF08",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF09",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF10",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF100",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF101",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF102",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF103",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF104",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF105",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF106",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF107",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF108",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF109",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
"AF11",,"AIM Generic Code - Annual Forb",,99,,"5","Annual",0,0
