"","ProjectName","PlotID","LineID","Meter.Mark","AIM.Species.Woody","AIM.Height.Woody","AIM.Species.Herbaceous","AIM.Height.Herbaceous","AIM.Herbaceous.Habit","AIM.Herbaceous.Duration","HAF.Species.Woody","HAF.Height.Woody","HAF.Species.PF","HAF.Height.PF","HAF.Species.PG","HAF.Height.PG","HAF.Height.Herbaceous","AIM.Height.PG","AIM.Height.PF"
"1","Bruneau FO 2015","BasinCM001","1",1,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Bruneau FO 2015","BasinCM001","1",10,"CHVI8",7,"POSE",22,"Graminoid","Perennial",NA,NA,NA,NA,NA,NA,NA,22,NA
"3","Bruneau FO 2015","BasinCM001","1",11,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Bruneau FO 2015","BasinCM001","1",12,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Bruneau FO 2015","BasinCM001","1",13,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Bruneau FO 2015","BasinCM001","1",14,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bruneau FO 2015","BasinCM001","1",15,"ARTRV",69,"ELEL5",30,"Graminoid","Perennial","ARTRV",75,NA,NA,NA,NA,NA,30,NA
"8","Bruneau FO 2015","BasinCM001","1",16,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Bruneau FO 2015","BasinCM001","1",17,"",NA,"",NA,NA,NA,"CHVI8",34,NA,NA,"FEID",49,49,NA,NA
"10","Bruneau FO 2015","BasinCM001","1",18,"",NA,"",NA,NA,NA,"CHVI8",66,NA,NA,NA,NA,NA,NA,NA
"11","Bruneau FO 2015","BasinCM001","1",19,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Bruneau FO 2015","BasinCM001","1",2,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Bruneau FO 2015","BasinCM001","1",20,"ARTRV",51,"POSE",24,"Graminoid","Perennial",NA,NA,NA,NA,"POSE",25,25,24,NA
"14","Bruneau FO 2015","BasinCM001","1",21,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"FEID",40,40,NA,NA
"15","Bruneau FO 2015","BasinCM001","1",22,"",NA,"",NA,NA,NA,"CHVI8",35,NA,NA,"ELEL5",32,32,NA,NA
"16","Bruneau FO 2015","BasinCM001","1",23,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Bruneau FO 2015","BasinCM001","1",24,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Bruneau FO 2015","BasinCM001","1",25,"ARTRV",57,"",NA,NA,NA,"CHVI8",24,NA,NA,NA,NA,NA,NA,NA
"19","Bruneau FO 2015","BasinCM001","1",3,"",NA,"",NA,NA,NA,NA,NA,"CRAC2",11,"PSSP6",31,31,NA,NA
"20","Bruneau FO 2015","BasinCM001","1",4,"",NA,"",NA,NA,NA,"CHVI8",33,NA,NA,"ELEL5",25,25,NA,NA
